sound_def	kind	source_trigger_paths	owner_cluster	current_evidence	remaining_gap
ZombieTracking	one_shot	Source/ZombieStateHandler.cs:1069;Source/JobDriver_ContaminationMimic.cs:60;Source/JobDriver_ContaminationBreakdown.cs:48	core_zombie;contamination	startup_support_state resolves SoundDef grains; C5 contamination jobs exercise mimic/breakdown with clean logs; sound_events_state captured OneShot ZombieTracking from the defense-room zombie during zapShocker on ZL_Defense_Room_base on 2026-05-31	No known trigger gap for a tracking-state sound event; keep broader horde audio under S-Core-Horde-Loop if desired.
ZombieHit	one_shot	Defs/Zombie_Race.xml:126;Source/ZombieStateHandler.cs:315;Source/ZombieStateHandler.cs:579	core_zombie	startup_support_state resolves SoundDef grains; source pass identifies both enemy-melee and building-smash attack-start branches; sound_events_state captured OneShot ZombieHit from the building-smash branch during smash_with_tanky and from an adjacent spawned colonist/zombie AttackMelee branch driven by wait_for_semantic_change from EMPTY on 2026-05-31	No known trigger gap for ZombieHit attack-start audio.
ZombieRage	one_shot	Source/ZombieStateHandler.cs:1129	core_zombie	startup_support_state resolves SoundDef grains; sound_events_state captured OneShot ZombieRage during rimconnect_rage_kill_contract from EMPTY on 2026-05-31	No known trigger gap for rage transition.
ZombieEating	one_shot	Source/ZombieStateHandler.cs:1057	core_zombie	startup_support_state resolves SoundDef grains; eating behavior has focused contracts; sound_events_state captured two OneShot ZombieEating events during zombie_eats_corpse_contract from EMPTY on 2026-05-31	No known trigger gap for corpse-eating audio.
ZombieBurningSilencer;ZombieBurningDamage	silent_sustainer_and_one_shot_damage	Source/Patches.cs	core_zombie;combat	Added 2026-06-27 and finalized 2026-06-28: decompiler pass confirmed RimWorld 1.6 Fire.TickInterval delegates FireBurning through SustainerAggregatorUtility.AggregateOrSpawnSustainerFor; Zombieland now substitutes silent ZombieBurningSilencer for fires attached to Zombieland pawns, suppresses burn-damage flash/default impact/lifestage sound during attached-fire damage, and plays local ZombieBurningDamage one-shots from ten 2.5s snippets under 1.6/Sounds/burning. User-audible live tuning confirmed volumeRange 90, distRange 8-28, maxSimultaneous 6, 0.25s fades, and no burning files 11-20.	Runtime bridge proof was done with temporary companion diagnostics and then removed; future regression proof should use a permanent generic sound-event/log helper rather than shipping companion probes.
ZombieDigOut	one_shot	Source/Zombie.cs:494	core_zombie;incidents	startup_support_state resolves SoundDef grains; sound_events_state captured OneShot ZombieDigOut after spawn_zombie appearDirectly=false plus 5 stepped ticks from EMPTY on 2026-05-31	No known trigger gap for dig-out spawn audio.
ZombiesRising	one_shot_on_camera	Source/ZombieIncidents.cs:258;Source/ZombieSpitter.cs:83	incidents;special_zombies	startup_support_state resolves SoundDef grains; S-Incident-Threat exercises alert waves and special spawn with clean logs; sound_events_state captured OneShot ZombiesRising from the camera during incident_threat_state setupFixture=true actionMode=scheduledWave from EMPTY on 2026-05-31	No known trigger gap for the substantial incident-wave on-camera audio.
ToxicSplash	one_shot	Source/Zombie.cs:473	special_zombies	startup_support_state resolves SoundDef grains; toxic-splasher runtime helpers exist; sound_events_state captured OneShot ToxicSplash during kill_toxic_splasher from EMPTY on 2026-05-31	No known trigger gap for toxic-splasher death audio.
TankyTink	one_shot	Source/Tools.cs:622;Source/Patches.cs:4555	special_zombies	startup_support_state resolves SoundDef grains; special-damage tanky armor branch reaches Tools.PlayTink with clean logs	No known source-level gap; keep under S-Special-Gauntlet for player-facing audio.
TarSmokePop	one_shot	Source/Patches.cs:96	special_zombies;rendering	startup_support_state resolves SoundDef grains; tar smoke visual/runtime paths are covered; source pass distinguishes tar-slime fire smoke playSound=false from dark-slimer damage playSound=true; decompiler confirmed DamageWorker_AddInjury.ApplyDamageToPart target shape and PlayOneShot recorder path; sound_events_state captured OneShot TarSmokePop during damage_dark_slimer from EMPTY on 2026-05-31	No known trigger gap for dark-slimer tar-smoke pop audio.
Bzzt	one_shot	Source/Tools.cs:631;Source/Patches.cs:3504;Source/Patches.cs:3514	special_zombies	startup_support_state resolves SoundDef grains; active-electrifier ranged absorption reaches absorb branch with clean logs	No known source-level gap; keep under S-Special-Gauntlet for player-facing audio.
ZombieElectricHum	sustainer	Source/TickManager.cs:701	core_zombie	startup_support_state resolves SoundDef grains; root-play-hooks runtime proves UpdateElectricalHumming path for active electrifier with clean logs	No known source-level gap.
ElectricShock	one_shot	Source/Patches.cs:3465	special_zombies	startup_support_state resolves SoundDef grains; source pass found the sound in the electrifier render stage when electricCounter reaches stage 0; spawn_reference_lineup stageRenderStates:true staged electricCounter=0 and screenshot_cell_rect rendered the branch; sound_events_state captured OneShot ElectricShock from Thing_Zombie6898 on 2026-05-31	No known trigger gap for electrifier visual-stage shock audio.
ZombieTankMovement	sustainer	Source/TickManager.cs:731	core_zombie	startup_support_state resolves SoundDef grains; root-play-hooks runtime proves UpdateTankMovement path for tanky zombie with clean logs	No known source-level gap.
ZombiesClosingIn	sustainer	Source/TickManager.cs:805	incidents;core_zombie	startup_support_state resolves SoundDef grains; decompiler confirmed TrySpawnSustainer records SustainerSpawn through DebugSoundEventsLog; sound_events_state captured SustainerSpawn ZombiesClosingIn from a fresh EMPTY load after the recorder was enabled first on 2026-05-31; get_status ambientSound plus wait_for_semantic_change from ZL_CE_EMPTY_00 with one normal zombie proved the target/current/sustainer volume envelope on 2026-06-01: 19:12 target 0.303200245 current 0.02759996, 23:12 target 1 current 0.118501432, 08:24 target 0 current 0.25580287, 09:36 target 0 current 0.228503272	No known trigger or volume-envelope gap for night ambient audio.
Hacking	one_shot	Source/JobDriver_Sabotage.cs:196	special_zombies	startup_support_state resolves SoundDef grains; sabotage/albino helpers exist; sound_events_state captured OneShot Hacking during hack_flickable_with_albino from EMPTY on 2026-05-31	No known trigger gap for albino sabotage audio.
Scream	one_shot	Source/JobDriver_Sabotage.cs:294	special_zombies	startup_support_state resolves SoundDef grains; ScreamWithAlbino helper exists; sound_events_state captured OneShot Scream during scream_with_albino from EMPTY on 2026-05-31	No known trigger gap for albino scream audio.
LetterArrive_TurnedZombie	letter_arrive	Defs/Zombie_Letter.xml:9;Defs/Zombie_Letter.xml:18;Defs/Zombie_Letter.xml:27	incidents;infection	startup_support_state resolves SoundDef grains; letter defs reference this arrive sound; decompiler confirms RimWorld 1.6 LetterStack.ReceiveLetter plays let.def.arriveSound on camera when playSound=true; sound_events_state captured OneShot LetterArrive_TurnedZombie during infection_workflow_state actionMode=execute from ZL_Infection_Medical_00 on 2026-05-31	No known trigger gap for turned-zombie letter arrival audio.
Smash	one_shot	Source/Tools.cs:640;Source/Patches.cs:979	core_zombie;hostility;infection	startup_support_state resolves SoundDef grains; smart-melee block and double-tap paths exercise adjacent behavior with clean logs; decompiler confirmed Verb_MeleeAttack.TryCastShot target shape and PlayOneShot recorder path; sound_events_state captured OneShot Smash during area_workflow_state actionMode=smart-melee from EMPTY on 2026-05-31	No known trigger gap for smart-melee block audio.
Silence	silent_explosion	Defs/Zombie_Damages.xml:50	special_zombies	startup_support_state resolves SoundDef grains; toxic damage def uses it as a deliberate no-op explosion sound	No player-facing audio proof needed unless toxic explosion def behavior is audited in detail.
ShockingRoom	one_shot	Source/SubEffecter_ZombieShocker.cs:133	buildings_items	startup_support_state resolves SoundDef grains; S-Defense-Room shocker zap/paralyze/mote path ran clean; sound_events_state captured OneShot ShockingRoom during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known trigger gap for shocker room-start audio.
ShockingZombie	one_shot	Source/SubEffecter_ZombieShocker.cs:52	buildings_items	startup_support_state resolves SoundDef grains; S-Defense-Room shocker zap/paralyze/mote path ran clean; sound_events_state captured OneShot ShockingZombie during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known trigger gap for zombie zap audio.
WallPushing	one_shot	Source/ZombieStateHandler.cs:161	buildings_items;pathing	startup_support_state resolves SoundDef grains; wall-push letter/path behavior covered with clean logs; decompiler confirmed RimWorld 1.6 SoundStarter.PlayOneShot records Notify_SoundEvent; sound_events_state captured OneShot WallPushing during wall_push_over_wall_contract from EMPTY on 2026-05-31	No known trigger gap for wall-push start audio.
ChainsawIdle	sustainer	Source/Chainsaw.cs:332	buildings_items	startup_support_state resolves SoundDef grains; chainsaw_equip_toggle starts running chainsaw with clean logs; sound_events_state captured SustainerEnd ChainsawIdle during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known source-level gap; retain as S-Defense-Room audio evidence.
ChainsawStart	one_shot	Source/Chainsaw.cs:329	buildings_items	startup_support_state resolves SoundDef grains; chainsaw_equip_toggle starts running chainsaw with clean logs	No known source-level gap; retain as S-Defense-Room audio evidence.
ChainsawWorkStart	sustain_start	Defs/Zombie_Sounds.xml:648	buildings_items	startup_support_state resolves SoundDef grains; ChainsawWork references it as sustainStartSound	No separate runtime proof needed if ChainsawWork sustainer is covered; ResolveReferences catches missing link.
ChainsawWorkEnd	sustain_stop	Defs/Zombie_Sounds.xml:649	buildings_items	startup_support_state resolves SoundDef grains; ChainsawWork references it as sustainStopSound	No separate runtime proof needed if ChainsawWork sustainer is covered; ResolveReferences catches missing link.
ChainsawWork	sustainer	Source/Chainsaw.cs:146	buildings_items	startup_support_state resolves SoundDef grains; chainsaw_slaughter_zombie exercises running/swinging chainsaw with clean logs	No known source-level gap; retain as S-Defense-Room audio evidence.
Crush	one_shot	Source/Chainsaw.cs:391	buildings_items	startup_support_state resolves SoundDef grains; chainsaw_slaughter_zombie kills adjacent zombie with clean logs	No known source-level gap; retain as S-Defense-Room audio evidence.
ThumperOperating	sustainer	Source/ZombieThumper.cs:91	buildings_items	startup_support_state resolves SoundDef grains; source pass confirms ZombieThumper.SpawnSetup spawns CustomDefs.ThumperOperating; decompiler confirms RimWorld 1.6 TrySpawnSustainer records DebugSoundEventsLog before sustainer creation; sound_events_state captured SustainerSpawn ThumperOperating while loading ZL_Defense_Room_base on 2026-05-31	No known trigger gap for thumper operating sustainer spawn audio.
ThumperLiftingStart	sustain_start	Defs/Zombie_Sounds.xml:734	buildings_items	startup_support_state resolves SoundDef grains; ThumperLifting references it as sustainStartSound; sound_events_state captured OneShot ThumperLiftingStart during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No separate runtime proof needed if ThumperLifting sustainer is covered; ResolveReferences catches missing link.
ThumperLifting	sustainer	Source/ZombieThumper.cs:309	buildings_items	startup_support_state resolves SoundDef grains; thumper impact action path runs with clean logs; sound_events_state captured SustainerSpawn and SustainerEnd ThumperLifting during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known source-level gap; retain as S-Defense-Room audio evidence.
ThumperConnecting	one_shot	Source/ZombieThumper.cs:319	buildings_items	startup_support_state resolves SoundDef grains; thumper impact action path runs with clean logs; sound_events_state captured OneShot ThumperConnecting during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known source-level gap; retain as S-Defense-Room audio evidence.
ThumperRelease	one_shot	Source/ZombieThumper.cs:327	buildings_items	startup_support_state resolves SoundDef grains; thumper impact action path runs with clean logs; sound_events_state captured OneShot ThumperRelease during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known source-level gap; retain as S-Defense-Room audio evidence.
ThumperClang	one_shot	Source/ZombieThumper.cs:343	buildings_items	startup_support_state resolves SoundDef grains; thumper impact action path runs with clean logs; sound_events_state captured OneShot ThumperClang during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known source-level gap; retain as S-Defense-Room audio evidence.
ThumperImpact	one_shot	Source/ZombieThumper.cs:344	buildings_items	startup_support_state resolves SoundDef grains; thumper impact action path runs with clean logs; sound_events_state captured OneShot ThumperImpact during defense_room_state zapShocker from ZL_Defense_Room_base on 2026-05-31	No known source-level gap; retain as S-Defense-Room audio evidence.
BallSpit	one_shot	Source/JobDriver_Spitter.cs:110	special_zombies	startup_support_state resolves SoundDef grains; spitter projectile contracts exercise projectile creation with clean logs; sound_events_state captured OneShot BallSpit during spit_zombie_ball from EMPTY on 2026-05-31	No known trigger gap for spitter projectile launch audio.
BallImpact	def_sound	Defs/Zombie_Things.xml:820	special_zombies	startup_support_state resolves SoundDef grains; zombie ball impact behavior has runtime evidence; sound_events_state captured OneShot BallImpact during impact_zombie_ball from EMPTY on 2026-05-31	No known trigger gap for ZombieBall impact audio.
SpitterMove	one_shot	Source/JobDriver_Spitter.cs:163	special_zombies	startup_support_state resolves SoundDef grains; spawn_spitter_visual_fixture plus wait_for_semantic_change drove a real JobDriver_Spitter transition from Idle to Moving and sound_events_state captured OneShot SpitterMove from EMPTY on 2026-05-31	No known trigger gap for spitter movement audio.
